order_id,customer_id,amount,ordered_at
A-1001,1,1200,2026-07-01
A-1002,2,3400,2026-07-01
A-1003,1,800,2026-07-02
A-1004,3,15000,2026-07-03
A-1005,007,2200,2026-07-03
A-1006,4,600,2026-07-05
A-1007,6,4300,2026-07-06
A-1008,007,1800,2026-07-08
A-1009,8,900,2026-07-09
A-1010,9,2500,2026-07-10
A-1011,10,7000,2026-07-12
A-1012,012,3300,2026-07-13
A-1013,11,450,2026-07-15
A-1014,2,1500,2026-07-16
A-1015,3,2750,2026-07-18
A-1016,012,900,2026-07-20
A-1017,10,1250,2026-07-22
A-1018,6,3100,2026-07-24
A-1019,1,2000,2026-07-27
A-1020,9,150,2026-07-30
